epoch,loss,masked_mae,val_loss,val_masked_mae
0,84002.796875,171.13099670410156,2424.123046875,35.84416198730469
1,2051.287109375,32.85237121582031,1867.185791015625,31.392858505249023
2,1879.04638671875,31.668872833251953,1748.224853515625,30.622493743896484
3,1731.628173828125,30.376523971557617,1645.6409912109375,29.851253509521484
4,1606.5264892578125,29.1914005279541,1561.6973876953125,28.98174476623535
5,1638.0450439453125,29.37069320678711,1565.3721923828125,28.812896728515625
6,1571.653564453125,28.731935501098633,1453.1375732421875,27.822189331054688
7,1527.4268798828125,28.308338165283203,1748.90771484375,30.561235427856445
8,1547.2486572265625,28.47834587097168,1369.2823486328125,27.108335494995117
9,1373.8812255859375,27.207229614257812,1128.131591796875,24.886985778808594
10,1248.615966796875,26.25075912475586,1628.2503662109375,30.209518432617188
11,1124.831298828125,24.92983627319336,1002.4824829101562,23.65700340270996
12,1032.27783203125,23.78339195251465,1587.7508544921875,30.210620880126953
13,1090.4864501953125,24.513599395751953,1040.63623046875,23.947734832763672
14,1086.0924072265625,24.4761962890625,919.7560424804688,22.520673751831055
15,1037.775146484375,23.796167373657227,900.1747436523438,22.26621437072754
16,1073.9705810546875,24.235898971557617,959.8828735351562,23.22774314880371
17,956.4678344726562,22.86710548400879,1101.500732421875,24.806997299194336
18,985.8297729492188,23.208261489868164,935.6589965820312,22.673255920410156
19,1042.3077392578125,23.970500946044922,1180.68115234375,25.734458923339844
20,963.652099609375,22.90582275390625,893.5062255859375,22.36943817138672
21,1071.3458251953125,24.243831634521484,928.2150268554688,22.60842514038086
22,1243.76123046875,26.058963775634766,979.9879760742188,23.423633575439453
23,1049.05322265625,24.034927368164062,913.3453369140625,22.62847900390625
24,995.07470703125,23.339982986450195,1061.547607421875,24.44134521484375
25,1096.3983154296875,24.619775772094727,1105.271728515625,24.719501495361328
26,1003.889404296875,23.387916564941406,1103.414306640625,25.19771385192871
27,996.0596923828125,23.341176986694336,1277.307861328125,26.68018341064453
28,1077.382080078125,24.33701515197754,947.462158203125,22.90978240966797
29,959.1069946289062,22.941242218017578,1007.2427978515625,23.56177520751953
30,1339.812255859375,27.133371353149414,1553.5904541015625,29.721630096435547
